Date & Time,MQ8,H2 ppm,Co2,Temperature,Humidity,Flow,,t,Co2 (g),Area Under Curve,H2 (g)
04-08-2022 13:00,29,0,294,37.01114,23.15826,0,Break 1,,,,
04-08-2022 13:01,22,0,449,37.80156,24.2981,0.026,,,,,
04-08-2022 13:02,22,0,481,38.43977,24.51782,0,,,,,
04-08-2022 13:03,22,0,477,38.84566,25.22736,0.021,,,,,
04-08-2022 13:04,22,0,469,39.12871,25.31586,0,,,,,
04-08-2022 13:05,22,0,471,39.28359,24.94812,0,,,,,
04-08-2022 13:06,28,0,469,39.36904,24.80164,0,,,,,
04-08-2022 13:07,22,0,475,39.52392,25.46539,0,,,,,
04-08-2022 13:08,22,0,464,39.67879,26.27258,0.276,,,,,
04-08-2022 13:09,22,0,310,39.66277,26.62048,0,,,,,
04-08-2022 13:10,22,0,362,39.8764,26.04828,0,,,,,
04-08-2022 13:11,24,0,403,39.98856,25.10376,0.026,,,,,
04-08-2022 13:12,22,0,400,40.05798,24.28131,0,,,,,
04-08-2022 13:13,22,0,406,40.14343,23.53821,0.019,,,,,
04-08-2022 13:14,22,0,410,40.15678,22.50366,0,,,,,
04-08-2022 13:15,22,0,397,40.05798,21.64001,0.01,,,,,
04-08-2022 13:16,22,0,428,39.93248,21.0022,0.138,,,,,
04-08-2022 13:17,28,0,462,39.9752,21.06323,0.053,,,,,
04-08-2022 13:18,22,0,451,39.91913,21.47064,0,,,,,
04-08-2022 13:19,28,0,451,39.93248,21.62018,0.019,,,,,
04-08-2022 13:20,24,0,453,39.8497,21.82312,0,,,,,
04-08-2022 13:21,24,0,460,39.8764,21.84448,0.201,,,,,
04-08-2022 13:22,22,0,475,39.8764,21.79565,0.33,,,,,
04-08-2022 13:23,22,0,469,39.80431,21.76208,0,,,,,
04-08-2022 13:24,28,0,481,39.79095,21.70258,0.266,,,,,
04-08-2022 13:25,22,0,480,39.69215,21.45996,0,,,,,
04-08-2022 13:26,28,0,497,39.63607,21.24176,0.046,,,,,
04-08-2022 13:27,24,0,494,39.59335,20.9259,0,,,,,
04-08-2022 13:28,22,0,483,39.52392,20.93506,0.089,,,,,
04-08-2022 13:29,22,0,476,39.43847,21.12732,0.037,,,,,
04-08-2022 13:30,22,0,494,39.45449,21.62476,0.098,,,,,
04-08-2022 13:31,22,0,442,39.36904,21.60339,0,,,,,
04-08-2022 13:32,22,0,467,39.36904,21.64764,0.016,,,,,
04-08-2022 13:33,22,0,459,39.36904,22.18933,0,,,,,
04-08-2022 13:34,22,0,450,39.38239,23.02704,0,,,,,
04-08-2022 13:35,22,0,471,39.36904,23.4787,0.098,,,,,
04-08-2022 13:36,28,0,476,39.42512,23.91815,0,,,,,
04-08-2022 13:37,22,0,484,39.45449,23.96545,0,,,,,
04-08-2022 13:38,24,0,497,39.49454,24.01428,0.042,,,,,
04-08-2022 13:39,22,0,493,39.53727,24.04327,0.012,,,,,
04-08-2022 13:40,29,0,501,39.6067,24.04785,0,,,,,
04-08-2022 13:41,22,0,485,39.66277,23.94714,0.012,,,,,
04-08-2022 13:42,19,0,60,32.03365,1.09558,0.033,,,,,
04-08-2022 13:43,24,0,42,27.24307,0.68359,0.061,,,,,
04-08-2022 13:44,18,0,29,25.39521,0.65155,0.256,,,,,
04-08-2022 13:45,28,0,0,25.47799,36.70959,4.643,PSP 1,,,,
04-08-2022 13:46,30,0,0,26.66094,20.56732,4.244,,1,0,0,0
04-08-2022 13:47,30,0,0,27.56351,19.18945,4.019,,2,0,0,0
04-08-2022 13:48,32,0,0,28.39666,17.72919,4.04,,3,0,0,0
04-08-2022 13:49,33,0,0,29.14435,16.36047,4.516,,4,18.5,1,4.516
04-08-2022 13:50,64,2,37,29.96147,36.09924,3.999,,5,47.5,,
04-08-2022 13:51,1024,-2147483648,58,30.74921,52.31476,3.621,,6,63.5,,
04-08-2022 13:52,1024,-2147483648,69,31.32868,53.83453,3.838,,7,63,,
04-08-2022 13:53,1024,-2147483648,57,31.86275,54.01306,3.739,,8,28.5,,
04-08-2022 13:54,1024,-2147483648,0,32.31403,53.95966,2.556,,9,1.5,,
04-08-2022 13:55,1024,-2147483648,3,32.42619,30.5069,4.244,,10,13.5,,
04-08-2022 13:56,1024,-2147483648,24,32.61311,16.36505,4.622,,11,18,,
04-08-2022 13:57,1024,-2147483648,12,32.86412,15.29541,4.686,,12,18.5,,
04-08-2022 13:58,1024,-2147483648,25,33.09109,14.30206,4.643,,13,22.5,,
04-08-2022 13:59,1024,-2147483648,20,33.27268,12.98218,4.431,,14,,,
04-08-2022 14:00,38,0,84,34.75471,21.58356,0,Break 2,,,,
04-08-2022 14:01,27,0,253,36.18066,24.6933,0,,,,,
04-08-2022 14:02,26,0,340,36.98444,25.31586,0.098,,,,,
04-08-2022 14:03,25,0,368,37.5639,25.42114,0,,,,,
04-08-2022 14:04,24,0,448,37.96979,25.59967,0.085,,,,,
04-08-2022 14:05,29,0,435,38.28222,25.87433,0,,,,,
04-08-2022 14:06,29,0,435,38.67742,25.38452,0.022,,,,,
04-08-2022 14:07,29,0,458,38.98718,24.95422,0,,,,,
04-08-2022 14:08,24,0,340,39.24086,24.70703,0.39,,,,,
04-08-2022 14:09,24,0,424,39.45449,24.53766,0,,,,,
04-08-2022 14:10,24,0,427,39.66277,24.03717,0,,,,,
04-08-2022 14:11,24,0,406,39.76158,24.14703,0.021,,,,,
04-08-2022 14:12,22,0,462,39.90578,24.11041,0,,,,,
